fecha,cliente,medio,titular,texto,alcance
2026-07-03,Nortia Retail,Expansion,Nortia Retail gana cuota en logistica de ultima milla,Nortia Retail destaca por su enfoque en logistica de ultima milla e inteligencia artificial.,54815
2026-06-20,Lumora,Business Insider Espana,"Lumora cierra un acuerdo clave; firma con un operador, segun El Pais","El acuerdo, valorado en millones, incluye recarga; tambien flotas.",45000
2026-07-14,Lumora,Xataka,Lumora anuncia novedades en movilidad electrica,La compania Lumora ha comunicado avances en movilidad electrica.,101890
2026-07-26,Brio Energia,El Mundo,Analisis: el futuro de parque solar segun Brio Energia,Fuentes cercanas a Brio Energia confirman movimientos en parque solar.,44837
2026-05-28,Nortia Retail,El Espanol,"Entrevista al CEO de Nortia Retail: ""logistica de ultima milla es el futuro""",Fuentes cercanas a Nortia Retail confirman movimientos en logistica de ultima milla.,82349
2026-06-04,Lumora,El Confidencial,Lumora gana cuota en baterias,La compania Lumora ha comunicado avances en baterias.,42082
2026-07-26,Nortia Retail,La Vanguardia,Nortia Retail gana cuota en omnicanalidad,Fuentes cercanas a Nortia Retail confirman movimientos en omnicanalidad.,122765
2026-06-11,Brio Energia,,"Entrevista al CEO de Brio Energia: ""eolica marina es el futuro""",Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,30773
2026-06-22,Nortia Retail,El Confidencial,Nortia Retail refuerza su estrategia de tiendas fisicas,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,51179
2026-05-08,Brio Energia,20minutos,Brio Energia crece en hidrogeno verde,"Segun el articulo, Brio Energia continua su expansion en hidrogeno verde.",98245
2026-07-09,Brio Energia,El Economista,"Entrevista al CEO de Brio Energia: ""eolica marina es el futuro""","El reportaje analiza la posicion de Brio Energia en eolica marina, con datos del ultimo trimestre.",45482
2026-07-17,Velfy,El Economista,Velfy presenta su plan de ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,32530
2026-06-26,Lumora,ABC,Lumora refuerza su estrategia de puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,59597
2026-05-07,Lumora,El Pais,Lumora presenta su plan de movilidad electrica,"Segun el articulo, Lumora continua su expansion en movilidad electrica.",138636
2026-05-14,Lumora,El Economista,Lumora refuerza su estrategia de puntos de recarga,"El reportaje analiza la posicion de Lumora en puntos de recarga, con datos del ultimo trimestre.",51149
2026-06-26,Nortia Retail,El Confidencial,Nortia Retail presenta su plan de omnicanalidad,"El reportaje analiza la posicion de Nortia Retail en omnicanalidad, con datos del ultimo trimestre.",105063
2026-07-09,Nortia Retail,Business Insider Espana,Nortia Retail gana cuota en logistica de ultima milla,"El reportaje analiza la posicion de Nortia Retail en logistica de ultima milla, con datos del ultimo trimestre.",36612
2026-05-20,Nortia Retail,Cinco Dias,Nortia Retail refuerza su estrategia de campana de rebajas,Fuentes cercanas a Nortia Retail confirman movimientos en campana de rebajas.,47420
2026-06-07,Brio Energia,ABC,Brio Energia anuncia novedades en parque solar,La compania Brio Energia ha comunicado avances en parque solar.,114465
2026-05-09,Nortia Retail,Expansion,Nortia Retail lidera comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",n.d.
2026-07-22,Brio Energia,elDiario.es,Brio Energia presenta su plan de hidrogeno verde,Fuentes cercanas a Brio Energia confirman movimientos en hidrogeno verde.,76713
2026-05-02,Velfy,20minutos,Velfy gana cuota en app de finanzas,"El reportaje analiza la posicion de Velfy en app de finanzas, con datos del ultimo trimestre.",116132
2026-06-25,Velfy,La Razon,Velfy lidera ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,45281
2026-06-11,Lumora,Business Insider Espana,Lumora presenta su plan de vehiculo electrico,Fuentes cercanas a Lumora confirman movimientos en vehiculo electrico.,34463
2026-05-27,Velfy,El Espanol,Velfy presenta su plan de criptoactivos,"Segun el articulo, Velfy continua su expansion en criptoactivos.",62365
2026-06-17,Brio Energia,20minutos,Brio Energia presenta su plan de eolica marina,Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,113712
2026-07-01,Nortia Retail,20minutos,Nortia Retail y la inteligencia artificial en logistica de ultima milla,La compania Nortia Retail ha comunicado avances en logistica de ultima milla.,116613
2026-07-24,Brio Energia,Forbes Espana,Brio Energia anuncia novedades en hidrogeno verde,"El reportaje analiza la posicion de Brio Energia en hidrogeno verde, con datos del ultimo trimestre.",22802
2026-05-17,Nortia Retail,Forbes Espana,Nortia Retail refuerza su estrategia de comercio electronico,"Segun el articulo, Nortia Retail continua su expansion en comercio electronico.",48306
2026-06-22,Lumora,Cinco Dias,Lumora cierra un acuerdo en flotas,"Segun el articulo, Lumora continua su expansion en flotas.",55518
25/06/2026,Brio Energia,Cinco Dias,Analisis: el futuro de parque solar segun Brio Energia,La compania Brio Energia ha comunicado avances en parque solar.,60000
2026-05-17,Brio Energia,Business Insider Espana,Brio Energia anuncia novedades en energia renovable,Fuentes cercanas a Brio Energia confirman movimientos en energia renovable.,34824
2026-06-27,Lumora,El Espanol,Lumora lidera flotas,"El reportaje analiza la posicion de Lumora en flotas, con datos del ultimo trimestre.",53296
2026-07-22,Brio Energia,Xataka,Brio Energia refuerza su estrategia de energia renovable,Fuentes cercanas a Brio Energia confirman movimientos en energia renovable.,59443
2026-05-04,Brio Energia,La Vanguardia,"Brio Energia refuerza su estrategia de autoconsumo, segun fuentes del sector",Brio Energia destaca por su enfoque en autoconsumo e inteligencia artificial.,42332
2026-07-16,Velfy,El Espanol,Velfy presenta su plan de criptoactivos,"El reportaje analiza la posicion de Velfy en criptoactivos, con datos del ultimo trimestre.",47098
2026-05-07,Brio Energia,El Pais,Brio Energia anuncia novedades en energia renovable,"Segun el articulo, Brio Energia continua su expansion en energia renovable.",73127
2026-06-10,Velfy,El Pais,Velfy invierte en app de finanzas,Fuentes cercanas a Velfy confirman movimientos en app de finanzas.,70699
2026-07-08,Lumora,Xataka,Lumora gana cuota en baterias,Lumora destaca por su enfoque en baterias e inteligencia artificial.,47777
2026-07-23,Brio Energia,Europa Press,Analisis: el futuro de autoconsumo segun Brio Energia,Fuentes cercanas a Brio Energia confirman movimientos en autoconsumo.,53041
2026-05-06,Lumora,La Vanguardia,Lumora invierte en flotas,"El reportaje analiza la posicion de Lumora en flotas, con datos del ultimo trimestre.",64594
2026-05-04,Velfy,La Vanguardia,Velfy presenta su plan de criptoactivos,La compania Velfy ha comunicado avances en criptoactivos.,95410
2026-06-15,Nortia Retail,Cinco Dias,Nortia Retail crece en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",58094
2026-05-16,Lumora,Europa Press,Lumora invierte en puntos de recarga,"El reportaje analiza la posicion de Lumora en puntos de recarga, con datos del ultimo trimestre.",41363
2026-07-02,Velfy,El Espanol,Velfy lidera pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,63891
2026-07-04,Lumora,ABC,Lumora presenta su plan de vehiculo electrico,Lumora destaca por su enfoque en vehiculo electrico e inteligencia artificial.,96497
2026-06-10,Brio Energia,El Pais,Brio Energia refuerza su estrategia de eolica marina,Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,129375
2026-05-07,Brio Energia,El Confidencial,Brio Energia apuesta por autoconsumo,"Segun el articulo, Brio Energia continua su expansion en autoconsumo.",49637
2026-06-21,Brio Energia,El Mundo,Brio Energia presenta su plan de autoconsumo,"Segun el articulo, Brio Energia continua su expansion en autoconsumo.",49743
2026-07-13,Nortia Retail,El Economista,Nortia Retail lidera omnicanalidad,"Segun el articulo, Nortia Retail continua su expansion en omnicanalidad.",48227
2026-06-04,Velfy,La Razon,Velfy lidera pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",48029
2026-07-04,Velfy,La Vanguardia,Velfy refuerza su compromiso con la sostenibilidad,Velfy destaca por su enfoque en fintech e inteligencia artificial.,109428
2026-05-25,Lumora,El Pais,Lumora refuerza su compromiso con la sostenibilidad,"Segun el articulo, Lumora continua su expansion en flotas.",139659
2026-06-03,Lumora,El Pais,Lumora refuerza su estrategia de puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,141107
2026-06-08,Lumora,Cinco Dias,Lumora invierte en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",63578
2026-07-27,Velfy,El Confidencial,Velfy anuncia novedades en fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",110627
2026-05-08,Nortia Retail,ABC,"Nortia Retail invierte en comercio electronico, segun fuentes del sector",Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,100020
13/05/2026,Nortia Retail,El Espanol,Nortia Retail refuerza su compromiso con la sostenibilidad,La compania Nortia Retail ha comunicado avances en omnicanalidad.,75000
2026-06-15,Brio Energia,La Vanguardia,Brio Energia crece en energia renovable,"Segun el articulo, Brio Energia continua su expansion en energia renovable.",63706
2026-06-18,Brio Energia,elDiario.es,Analisis: el futuro de energia renovable segun Brio Energia,"El reportaje analiza la posicion de Brio Energia en energia renovable, con datos del ultimo trimestre.",57004
2026-05-03,Velfy,Europa Press,"Velfy presenta su plan de fintech, segun fuentes del sector","El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",60160
2026-06-10,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-07-23,Nortia Retail,20minutos,Nortia Retail gana cuota en campana de rebajas,"Segun el articulo, Nortia Retail continua su expansion en campana de rebajas.",83990
2026-05-11,Brio Energia,Cinco Dias,Brio Energia anuncia novedades en eolica marina,"El reportaje analiza la posicion de Brio Energia en eolica marina, con datos del ultimo trimestre.",58686
2026-06-03,Nortia Retail,20minutos,Nortia Retail refuerza su compromiso con la sostenibilidad,Fuentes cercanas a Nortia Retail confirman movimientos en campana de rebajas.,132567
2026-05-28,Nortia Retail,Business Insider Espana,Nortia Retail invierte en campana de rebajas,Nortia Retail destaca por su enfoque en campana de rebajas e inteligencia artificial.,32688
2026-07-14,Lumora,El Espanol,Lumora lidera baterias,"El reportaje analiza la posicion de Lumora en baterias, con datos del ultimo trimestre.",46758
2026-06-03,Lumora,El Pais,Lumora gana cuota en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",79811
2026-05-09,Brio Energia,La Razon,"Brio Energia cierra un acuerdo en autoconsumo, segun fuentes del sector",La compania Brio Energia ha comunicado avances en autoconsumo.,39206
2026-06-06,Brio Energia,El Espanol,Brio Energia anuncia novedades en hidrogeno verde,"El reportaje analiza la posicion de Brio Energia en hidrogeno verde, con datos del ultimo trimestre.",61027
2026-05-14,Velfy,El Espanol,Velfy invierte en pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",85677
2026-06-04,Velfy,El Mundo,Velfy anuncia novedades en fintech,"Segun el articulo, Velfy continua su expansion en fintech.",90607
2026-07-28,Lumora,20minutos,Lumora refuerza su compromiso con la sostenibilidad,Lumora destaca por su enfoque en puntos de recarga e inteligencia artificial.,132501
2026-05-08,Velfy,Forbes Espana,Analisis: el futuro de criptoactivos segun Velfy,"Segun el articulo, Velfy continua su expansion en criptoactivos.",32555
2026-05-08,Lumora,La Vanguardia,"Entrevista al CEO de Lumora: ""movilidad electrica es el futuro""",La compania Lumora ha comunicado avances en movilidad electrica.,52558
2026-06-19,Velfy,El Pais,Velfy refuerza su estrategia de pagos digitales,"Segun el articulo, Velfy continua su expansion en pagos digitales.",121153
2026-05-10,Velfy,Forbes Espana,Velfy apuesta por pagos digitales,"Segun el articulo, Velfy continua su expansion en pagos digitales.",38718
2026-07-10,Brio Energia,El Espanol,"Entrevista al CEO de Brio Energia: ""autoconsumo es el futuro""","Segun el articulo, Brio Energia continua su expansion en autoconsumo.",67422
2026-07-07,Nortia Retail,El Confidencial,Nortia Retail crece en logistica de ultima milla,La compania Nortia Retail ha comunicado avances en logistica de ultima milla.,61006
2026-07-27,Lumora,Expansion,Lumora apuesta por puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,
2026-06-01,Nortia Retail,Cinco Dias,Nortia Retail crece en logistica de ultima milla,La compania Nortia Retail ha comunicado avances en logistica de ultima milla.,55768
2026-07-13,Velfy,El Mundo,Velfy presenta su plan de pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,96355
2026-05-16,Lumora,Expansion,Lumora cierra un acuerdo en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",73700
2026-07-16,Brio Energia,ABC,Brio Energia lidera eolica marina,La compania Brio Energia ha comunicado avances en eolica marina.,100292
2026-05-14,Lumora,El Espanol,Lumora anuncia novedades en baterias,"Segun el articulo, Lumora continua su expansion en baterias.",43463
2026-07-19,Velfy,Forbes Espana,Velfy invierte en criptoactivos,"El reportaje analiza la posicion de Velfy en criptoactivos, con datos del ultimo trimestre.",33490
2026-05-19,Velfy,elDiario.es,Velfy crece en ronda de financiacion,"El reportaje analiza la posicion de Velfy en ronda de financiacion, con datos del ultimo trimestre.",76548
2026-06-13,Lumora,Cinco Dias,Lumora crece en movilidad electrica,"Segun el articulo, Lumora continua su expansion en movilidad electrica.",44367
2026-05-24,Lumora,Business Insider Espana,Lumora lidera flotas,La compania Lumora ha comunicado avances en flotas.,23838
2026-05-26,Velfy,El Confidencial,Velfy invierte en pagos digitales,"Segun el articulo, Velfy continua su expansion en pagos digitales.",64971
2026-05-18,Brio Energia,,Brio Energia refuerza su estrategia de energia renovable,La compania Brio Energia ha comunicado avances en energia renovable.,119921
2026-05-23,Lumora,El Confidencial,Lumora apuesta por flotas,Lumora destaca por su enfoque en flotas e inteligencia artificial.,104047
2026-05-14,Nortia Retail,El Mundo,Nortia Retail apuesta por omnicanalidad,Nortia Retail destaca por su enfoque en omnicanalidad e inteligencia artificial.,93783
2026-05-04,Velfy,El Confidencial,"Velfy crece en criptoactivos, segun fuentes del sector","Segun el articulo, Velfy continua su expansion en criptoactivos.",59191
2026-06-14,Velfy,Xataka,"Velfy y su ronda: 10M, 20 empleados; ""vamos a por Europa""","La ronda, liderada por un fondo, valora la firma; hay mas inversores.",80000
2026-07-11,Velfy,ABC,Velfy cierra un acuerdo en criptoactivos,Velfy destaca por su enfoque en criptoactivos e inteligencia artificial.,52491
2026-06-10,Lumora,El Mundo,Lumora y la analitica de flotas,Reportaje sobre flotas y datos de Lumora.,110000
2026-07-17,Lumora,El Pais,Lumora cierra un acuerdo en puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,110105
2026-06-06,Brio Energia,Business Insider Espana,Brio Energia cierra un acuerdo en eolica marina,La compania Brio Energia ha comunicado avances en eolica marina.,21348
2026-05-26,Velfy,Business Insider Espana,Velfy refuerza su estrategia de ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,46366
2026-07-21,Nortia Retail,Xataka,"Entrevista al CEO de Nortia Retail: ""comercio electronico es el futuro""",Nortia Retail destaca por su enfoque en comercio electronico e inteligencia artificial.,89033
2026-05-25,Velfy,Europa Press,Velfy crece en ronda de financiacion,Velfy destaca por su enfoque en ronda de financiacion e inteligencia artificial.,53463
2026-07-07,Velfy,El Pais,Velfy gana cuota en criptoactivos,Velfy destaca por su enfoque en criptoactivos e inteligencia artificial.,57246
2026-06-03,Nortia Retail,El Mundo,Analisis: el futuro de tiendas fisicas segun Nortia Retail,La compania Nortia Retail ha comunicado avances en tiendas fisicas.,108804
2026/05/13,Brio Energia,Business Insider Espana,Brio Energia presenta su plan de autoconsumo,La compania Brio Energia ha comunicado avances en autoconsumo.,45000
2026-06-20,Lumora,El Mundo,Lumora cierra un acuerdo en movilidad electrica,Fuentes cercanas a Lumora confirman movimientos en movilidad electrica.,118146
2026-06-24,Lumora,La Razon,Analisis: el futuro de puntos de recarga segun Lumora,La compania Lumora ha comunicado avances en puntos de recarga.,18801
2026-06-13,Brio Energia,El Confidencial,Brio Energia cierra un acuerdo en eolica marina,Fuentes cercanas a Brio Energia confirman movimientos en eolica marina.,
2026-06-10,Lumora,El Economista,Lumora anuncia novedades en baterias,Fuentes cercanas a Lumora confirman movimientos en baterias.,44490
2026-06-19,Nortia Retail,Business Insider Espana,Nortia Retail cierra un acuerdo en comercio electronico,Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,30115
2026-05-04,Brio Energia,Europa Press,"Brio Energia cierra un acuerdo en hidrogeno verde, segun fuentes del sector",La compania Brio Energia ha comunicado avances en hidrogeno verde.,83253
2026-06-10,Velfy,La Razon,"Entrevista al CEO de Velfy: ""fintech es el futuro""","Segun el articulo, Velfy continua su expansion en fintech.",27812
2026-07-23,Nortia Retail,elDiario.es,Nortia Retail anuncia novedades en logistica de ultima milla,"El reportaje analiza la posicion de Nortia Retail en logistica de ultima milla, con datos del ultimo trimestre.",
2026-07-13,Brio Energia,Forbes Espana,Brio Energia refuerza su estrategia de hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,44046
2026-07-08,Velfy,Cinco Dias,Velfy y la inteligencia artificial en fintech,"El reportaje analiza la posicion de Velfy en fintech, con datos del ultimo trimestre.",76293
2026-06-18,Nortia Retail,El Espanol,Nortia Retail refuerza su compromiso con la sostenibilidad,"Segun el articulo, Nortia Retail continua su expansion en comercio electronico.",80495
2026-07-13,Brio Energia,20minutos,Brio Energia gana cuota en eolica marina,La compania Brio Energia ha comunicado avances en eolica marina.,147187
2026-06-17,Brio Energia,20minutos,"Entrevista al CEO de Brio Energia: ""hidrogeno verde es el futuro""",Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,122834
2026-05-10,Brio Energia,Expansion,Brio Energia gana cuota en autoconsumo,La compania Brio Energia ha comunicado avances en autoconsumo.,88082
2026-07-16,Velfy,Expansion,Velfy lidera pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,72468
2026-06-24,Velfy,Xataka,Velfy refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Velfy en app de finanzas, con datos del ultimo trimestre.",71627
2026-07-14,Nortia Retail,La Vanguardia,Nortia Retail y la inteligencia artificial en omnicanalidad,Nortia Retail destaca por su enfoque en omnicanalidad e inteligencia artificial.,73765
2026-06-16,Lumora,El Confidencial,Lumora refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Lumora en movilidad electrica, con datos del ultimo trimestre.",88790
2026-06-05,Lumora,El Pais,"Entrevista al CEO de Lumora: ""movilidad electrica es el futuro""",La compania Lumora ha comunicado avances en movilidad electrica.,138994
2026-07-20,Nortia Retail,Expansion,Nortia Retail cierra un acuerdo en tiendas fisicas,Fuentes cercanas a Nortia Retail confirman movimientos en tiendas fisicas.,85.000
2026-06-21,Brio Energia,El Confidencial,Brio Energia gana cuota en autoconsumo,La compania Brio Energia ha comunicado avances en autoconsumo.,45797
2026-05-27,Lumora,La Razon,Lumora gana cuota en puntos de recarga,Fuentes cercanas a Lumora confirman movimientos en puntos de recarga.,29821
2026-06-26,Velfy,Europa Press,Velfy gana cuota en ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,41032
2026-06-23,Brio Energia,ABC,"Brio Energia apuesta por energia renovable, segun fuentes del sector","Segun el articulo, Brio Energia continua su expansion en energia renovable.",56755
2026-06-14,Lumora,elDiario.es,Lumora crece en movilidad electrica,La compania Lumora ha comunicado avances en movilidad electrica.,50049
2026-06-07,Velfy,El Espanol,Velfy gana cuota en pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,95353
2026-07-14,Lumora,El Mundo,"Lumora gana cuota en vehiculo electrico, segun fuentes del sector",Lumora destaca por su enfoque en vehiculo electrico e inteligencia artificial.,103044
2026-07-22,Brio Energia,La Vanguardia,Brio Energia y la inteligencia artificial en hidrogeno verde,"El reportaje analiza la posicion de Brio Energia en hidrogeno verde, con datos del ultimo trimestre.",94993
2026-07-20,Nortia Retail,elDiario.es,"Nortia Retail refuerza su estrategia de comercio electronico, segun fuentes del sector",Fuentes cercanas a Nortia Retail confirman movimientos en comercio electronico.,72258
2026/06/11,Nortia Retail,Europa Press,Nortia Retail gana cuota en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",70000
2026-06-12,Lumora,Expansion,"Lumora refuerza su estrategia de baterias, segun fuentes del sector",Lumora destaca por su enfoque en baterias e inteligencia artificial.,62675
2026-07-25,Brio Energia,Forbes Espana,Brio Energia lidera hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,
2026-05-18,Lumora,  El Pais ,"Entrevista al CEO de Lumora: ""puntos de recarga es el futuro""",Lumora destaca por su enfoque en puntos de recarga e inteligencia artificial.,68663
2026-05-08,Nortia Retail,La  Razon,Nortia Retail cierra un acuerdo en logistica de ultima milla,"Segun el articulo, Nortia Retail continua su expansion en logistica de ultima milla.",45023
2026-06-02,Brio Energia,Business Insider Espana,Brio Energia crece en autoconsumo,Brio Energia destaca por su enfoque en autoconsumo e inteligencia artificial.,26376
2026-05-01,Nortia Retail,EL MUNDO,Nortia Retail refuerza su estrategia de comercio electronico,Nortia Retail destaca por su enfoque en comercio electronico e inteligencia artificial.,101765
2026-06-17,Lumora,Europa Press,Lumora anuncia novedades en vehiculo electrico,"Segun el articulo, Lumora continua su expansion en vehiculo electrico.",56790
2026-07-02,Lumora,El Confidencial,Lumora refuerza su compromiso con la sostenibilidad,"El reportaje analiza la posicion de Lumora en vehiculo electrico, con datos del ultimo trimestre.",119573
2026-06-14,Nortia Retail,El Confidencial,"Entrevista al CEO de Nortia Retail: ""campana de rebajas es el futuro""","Segun el articulo, Nortia Retail continua su expansion en campana de rebajas.",79522
2026-06-28,Lumora,La Vanguardia,Lumora apuesta por puntos de recarga,"Segun el articulo, Lumora continua su expansion en puntos de recarga.",113505
2026-06-15,Lumora,20minutos,Lumora gana cuota en baterias,"El reportaje analiza la posicion de Lumora en baterias, con datos del ultimo trimestre.",122506
2026-06-11,Velfy,Forbes Espana,Velfy refuerza su compromiso con la sostenibilidad,La compania Velfy ha comunicado avances en app de finanzas.,28296
2026-06-15,Nortia Retail,La Razon,Nortia Retail crece en tiendas fisicas,Nortia Retail destaca por su enfoque en tiendas fisicas e inteligencia artificial.,47710
09/06/2026,Brio Energia,Business Insider Espana,Brio Energia gana cuota en eolica marina,Fuentes cercanas a Brio Energia confirman movimientos en eolica marina.,45000
2026/07/27,Brio Energia,Expansion,Brio Energia y la inteligencia artificial en eolica marina,Brio Energia destaca por su enfoque en eolica marina e inteligencia artificial.,85000
2026-05-12,Nortia Retail,El Espanol,Nortia Retail invierte en campana de rebajas,"El reportaje analiza la posicion de Nortia Retail en campana de rebajas, con datos del ultimo trimestre.",75.000
2026-05-09,Lumora,Cinco Dias,Lumora refuerza su estrategia de flotas,Lumora destaca por su enfoque en flotas e inteligencia artificial.,35650
2026-07-18,Nortia Retail,El Confidencial,Nortia Retail invierte en tiendas fisicas,Nortia Retail destaca por su enfoque en tiendas fisicas e inteligencia artificial.,92575
2026-07-10,Lumora,El Confidencial,Lumora gana cuota en flotas,La compania Lumora ha comunicado avances en flotas.,80655
2026-07-24,Lumora,El Confidencial,"Lumora invierte en vehiculo electrico, segun fuentes del sector",La compania Lumora ha comunicado avances en vehiculo electrico.,95661
2026-06-08,Velfy,El Confidencial,Analisis: el futuro de pagos digitales segun Velfy,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",101629
2026-05-14,Nortia Retail,Expansion,Nortia Retail lidera logistica de ultima milla,La compania Nortia Retail ha comunicado avances en logistica de ultima milla.,59267
2026-06-09,Nortia Retail,Forbes Espana,Nortia Retail crece en comercio electronico,Nortia Retail destaca por su enfoque en comercio electronico e inteligencia artificial.,60811
2026-07-04,Lumora,Expansion,"Entrevista al CEO de Lumora: ""flotas es el futuro""",Fuentes cercanas a Lumora confirman movimientos en flotas.,83997
2026-06-04,Velfy,ABC,Analisis: el futuro de fintech segun Velfy,La compania Velfy ha comunicado avances en fintech.,43512
2026-07-20,Nortia Retail,Xataka,Nortia Retail presenta su plan de omnicanalidad,"Segun el articulo, Nortia Retail continua su expansion en omnicanalidad.",77559
2026-05-07,Brio Energia,El Pais,Brio Energia gana cuota en hidrogeno verde,Brio Energia destaca por su enfoque en hidrogeno verde e inteligencia artificial.,55267
2026-05-20,Nortia Retail,El Espanol,Nortia Retail crece en tiendas fisicas,Fuentes cercanas a Nortia Retail confirman movimientos en tiendas fisicas.,71084
2026-05-19,Lumora,Xataka,Lumora apuesta por flotas,Lumora destaca por su enfoque en flotas e inteligencia artificial.,61992
2026-05-10,Nortia Retail,Business Insider Espana,Nortia Retail crece en comercio electronico,"El reportaje analiza la posicion de Nortia Retail en comercio electronico, con datos del ultimo trimestre.",26164
2026/07/26,Velfy,20minutos,Velfy y la inteligencia artificial en ronda de financiacion,"Segun el articulo, Velfy continua su expansion en ronda de financiacion.",130000
2026-05-12,Lumora,elDiario.es,Analisis: el futuro de puntos de recarga segun Lumora,"Segun el articulo, Lumora continua su expansion en puntos de recarga.",38560
2026-05-27,Velfy,Expansion,Analisis: el futuro de app de finanzas segun Velfy,"El reportaje analiza la posicion de Velfy en app de finanzas, con datos del ultimo trimestre.",47364
2026-07-07,Lumora,La Razon,Lumora gana cuota en baterias,Lumora destaca por su enfoque en baterias e inteligencia artificial.,46121
2026-06-02,Velfy,El Mundo,Velfy apuesta por pagos digitales,La compania Velfy ha comunicado avances en pagos digitales.,56549
2026-05-01,Lumora,elDiario.es,Analisis: el futuro de movilidad electrica segun Lumora,Lumora destaca por su enfoque en movilidad electrica e inteligencia artificial.,56970
2026-06-26,Brio Energia,20minutos,Brio Energia y la inteligencia artificial en hidrogeno verde,Fuentes cercanas a Brio Energia confirman movimientos en hidrogeno verde.,N/D
2026-05-08,Brio Energia,El Mundo,Brio Energia invierte en autoconsumo,Brio Energia destaca por su enfoque en autoconsumo e inteligencia artificial.,102659
2026-05-08,Lumora,Europa Press,"Entrevista al CEO de Lumora: ""vehiculo electrico es el futuro""",Lumora destaca por su enfoque en vehiculo electrico e inteligencia artificial.,47238
2026-07-17,Velfy,ABC,Velfy anuncia novedades en ronda de financiacion,La compania Velfy ha comunicado avances en ronda de financiacion.,"1,2M"
2026-06-28,Velfy,20minutos,Velfy lidera pagos digitales,"El reportaje analiza la posicion de Velfy en pagos digitales, con datos del ultimo trimestre.",70428
06/07/2026,Brio Energia,Business Insider Espana,Analisis: el futuro de hidrogeno verde segun Brio Energia,"Segun el articulo, Brio Energia continua su expansion en hidrogeno verde.",45000
2026-06-06,Lumora,Cinco Dias,Lumora apuesta por vehiculo electrico,"El reportaje analiza la posicion de Lumora en vehiculo electrico, con datos del ultimo trimestre.",72528
2026-07-18,Lumora,El Mundo,Lumora y la inteligencia artificial en movilidad electrica,"Segun el articulo, Lumora continua su expansion en movilidad electrica.",900k
2026-06-15,Nortia Retail,Xataka,Nortia Retail anuncia novedades en campana de rebajas,"Segun el articulo, Nortia Retail continua su expansion en campana de rebajas.",87608
01/07/2026,Brio Energia,Expansion,Brio Energia anuncia novedades en parque solar,Fuentes cercanas a Brio Energia confirman movimientos en parque solar.,85000
5 de junio de 2026,Brio Energia,elDiario.es,"Brio Energia presenta su plan de parque solar, segun fuentes del sector","Segun el articulo, Brio Energia continua su expansion en parque solar.",65000
2026-06-14,Velfy,El Espanol,Velfy invierte en pagos digitales,Velfy destaca por su enfoque en pagos digitales e inteligencia artificial.,sin datos
2026-07-22,Lumora,La Razon,"Entrevista al CEO de Lumora: ""vehiculo electrico es el futuro""",La compania Lumora ha comunicado avances en vehiculo electrico.,30428
2026-05-05,Brio Energia,Cinco Dias,Brio Energia refuerza su estrategia de parque solar,"El reportaje analiza la posicion de Brio Energia en parque solar, con datos del ultimo trimestre.",64632
